key_										count_		count_wiki	count_multi	count_semi	count_single	
access:vehicle									107		0		0		1		15		
access:vehicle:backward:conditional						2		0		0		0		1		
access:vehicle:conditional							41		0		0		2		6		
access:vehicle:forward:conditional						2		0		0		0		1		
access:visitor									75		0		0		0		3		
access:visitor:disabled								3		0		0		0		1		
access:visitors									1		0		0		0		1		
access:weelchair								1		0		0		0		1		
access:wheelchair								12		0		0		0		2		
access:wikidata									1		0		0		0		1		
access:winter									230		0		0		0		3		
access:woman									3		0		0		0		2		
access:xxx									1		0		0		0		1		
access:yes									1		0		0		0		1		
accessability									3		0		0		0		2		
accessfrom									28		0		0		0		6		
accessibility									322		0		0		0		15		
accessibility:elevator								3		0		0		0		1		
accessibility_source								2080		0		0		0		3		
accessible									9		0		0		0		2		
accessories									3		0		0		0		2		
accessri									3		0		0		0		1		
accesss_land									1		0		0		0		1		
accessto									42		0		0		1		23		
accessvia									3		0		0		1		2		
access_1									128		0		0		1		23		
access_2									6		0		0		0		6		
access_aisle									921		0		0		0		14		
access_brp									6		0		0		0		2		
access_control									9152		0		0		0		20		
access_fee									6		0		0		0		1		
access_for_women								1		0		0		0		1		
access_for_women:source								1		0		0		0		1		
access_land									11		0		0		0		1		
access_on_foot									1		0		0		0		1		
access_point									3		0		0		0		3		
access_ramp									9		0		0		0		1		
access_risk									1		0		0		0		1		
access_sdp									2		0		0		0		2		
access_sign									360		0		0		6		30		
access_sign:inscription								4		0		0		0		2		
access_status									293		0		0		0		2		
access_status:np								10		0		0		0		2		
access_times									2		0		0		0		1		
access_traffic_sign								1		0		0		0		1		
access_typ									25		0		0		0		2		
acces_deta									1		0		0		0		1		
accident									491		0		0		0		5		
accident:collision:at_fault							2		0		0		0		1		
accident:collision:parties							2		0		0		1		0		
accident:date									3		0		0		0		2		
accident:deathtoll								2		0		0		0		1		
accident:traffic:duration							1		0		0		0		1		
accident:traffic:effect								1		0		0		0		1		
accociated_with									54		0		0		0		1		
accommedation									1		0		0		0		1		
accommodation									212		0		0		1		10		
accomodation									20		0		0		0		8		
according_to:rs									2		0		0		0		1		
according_to:xk									3		0		0		0		1		
accor_ticket_acceptant								2		0		0		0		1		
accouterment									12		0		0		0		11		
accouterment1									4		0		0		0		3		
accouterment2									4		0		0		0		2		
accouterment3									2		0		0		0		2		
accouterments									8		0		0		0		6		
accouterments2									7		0		0		0		5		
accouterments3									5		0		0		0		5		
accouterments4									1		0		0		0		1		
accuracy									40628		0		0		1		58		
accuracy:meters									140897		0		0		8		18		
aceess										4		0		0		0		1		
acenitycess									1		0		0		0		1		
acesso										3		0		0		0		3		
acma.gov.au:site_id								1		0		0		0		1		
acoustic									52		0		0		0		1		
acoustics									1		0		0		0		1		
acqtech										4		0		0		0		1		
acquaculture									14		0		0		0		1		
acquired_land									12		0		0		0		2		
acq_date									1		0		0		0		1		
acreage										151		0		0		0		101		
acres										19955		0		0		203		16999		
acronym										6		0		0		0		6		
acrylic_glass									1		0		0		0		1		
action										3		0		0		0		2		
action:id									1		0		0		0		1		
actiondate									35		0		0		0		4		
active										11		0		0		0		3		
active_traffic_management							1051		0		0		0		2		
activities									17		0		0		2		8		
activities_1									3		0		0		0		2		
activities_2									2		0		0		0		1		
activity									1573		0		0		0		16		
activity:work									171		0		0		0		6		
activo										1602		0		0		0		12		
activo_pcc									9		0		0		0		7		
acueducto									1		0		0		0		1		
acupuncture									1		0		0		0		1		
acvc										1		0		0		0		1		
ac_layer									3		0		0		0		1		
ad										1		0		0		0		1		
ad category for fire fighting							1		0		0		0		1		
adat										3		0		0		0		1		
add										23		0		0		0		15		
add:place									31		0		0		0		16		
addaption									1		0		0		0		1		
added										231		0		0		0		8		
added_by									945		0		0		0		6		
additional_amenities								2		0		0		0		2		
